ticket,open_time,close_time,symbol,direction,lot,entry_price,sl,tp,close_price,profit,outcome,rsi,h1_trend,news,ai_reason,signal_type
2718931717,2026-05-07 16:34:01,2026-05-07 16:45:46,XAUUSDm,BUY,0.02,4758.22,4745.75,4789.39,4745.75,-3222.03,LOSS,63.2,UP,Offline,TECH:OK RSI=63 body=11.9 ATR=6.9 EMAgap=0.06% H1=UP,TREND
2722452443,2026-05-08 11:20:04,2026-05-08 11:21:48,XAUUSDm,BUY,0.02,4715.07,4703.74,4743.41,4719.36,1080.55,WIN,48.7,UP,Offline,L:CONFIRM S:CONFIRM,TREND
2722456070,2026-05-08 11:21:04,2026-05-08 11:21:48,XAUUSDm,BUY,0.02,4715.41,4703.89,4744.19,4719.36,995.98,WIN,49.7,UP,Offline,L:CONFIRM S:CONFIRM,TREND
2722466200,2026-05-08 11:22:03,2026-05-08 12:33:55,XAUUSDm,BUY,0.02,4720.46,4708.21,4751.09,4710.39,-2625.05,LOSS,57.0,UP,Offline,L:CONFIRM S:CONFIRM,TREND
2722472643,2026-05-08 11:23:04,2026-05-08 12:52:18,XAUUSDm,BUY,0.02,4719.57,4707.04,4750.88,4707.94,-3028.93,LOSS,55.5,UP,Offline,L:CONFIRM S:CONFIRM,TREND
2722476502,2026-05-08 11:24:04,2026-05-08 12:33:53,XAUUSDm,BUY,0.02,4721.41,4708.89,4752.73,4711.46,-2593.78,LOSS,57.0,UP,Offline,L:CONFIRM S:CONFIRM,TREND
2722902934,2026-05-08 13:28:04,,XAUUSDm,BUY,0.01,4721.0,4709.58,4755.27,,,OPEN,58.7,UP,Offline,L:CONFIRM S:CONFIRM,TREND
2722905156,2026-05-08 13:29:04,,XAUUSDm,BUY,0.01,4722.05,4710.61,4756.37,,,OPEN,60.6,UP,Offline,L:CONFIRM S:CONFIRM,TREND
2722908121,2026-05-08 13:30:04,,XAUUSDm,BUY,0.01,4721.2,4710.53,4753.22,,,OPEN,57.7,UP,Offline,L:CONFIRM S:CONFIRM,TREND
2722934201,2026-05-08 13:37:04,,XAUUSDm,BUY,0.01,4725.21,4714.29,4757.99,,,OPEN,63.7,UP,Offline,L:CONFIRM S:CONFIRM,TREND
2722964474,2026-05-08 13:43:22,2026-05-08 13:55:34,XAUUSDm,BUY,0.01,4726.61,4715.41,4760.21,4715.4,-1456.96,LOSS,64.7,UP,Offline,L:CONFIRM S:CONFIRM,TREND
2723078840,2026-05-08 14:09:22,,XAUUSDm,BUY,0.01,4724.1,4709.94,4766.6,,,OPEN,57.5,UP,Offline,L:CONFIRM S:CONFIRM,TREND
